Year,Geography,Industry,Wage rates,Value
2009,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,2.7
2010,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,3.7
2011,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,4.7
2012,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,4.0
2013,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,4.6
2014,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,3.2
2015,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,5.5
2001,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,0.00
2002,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,0.00
2003,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,22.00
2004,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,21.96
2005,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,21.87
2006,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,24.48
2007,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,25.65
2008,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,25.63
2009,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,27.65
2010,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,24.93
2011,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,27.77
2012,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,26.68
2013,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,31.72
2014,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,32.10
2015,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average hourly wage rate,31.40
2001,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,0.00
2002,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,0.00
2003,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,961.06
2004,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,925.18
2005,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,991.49
2006,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1058.35
2007,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1162.44
2008,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1183.57
2009,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1217.09
2010,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1194.25
2011,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1360.30
2012,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1286.50
2013,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1398.48
2014,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1383.32
2015,Northern region,Support Activities for Mining and Oil and Gas Extraction,Average weekly wage rate,1458.07
2001,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,0.00
2002,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,0.00
2003,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,19.49
2004,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,22.78
2005,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,21.85
2006,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,23.00
2007,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,24.00
2008,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,22.00
2009,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,25.00
2010,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,22.00
2011,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,26.00
2012,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,26.00
2013,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,29.81
2014,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,30.00
2015,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median hourly wage rate,28.00
2001,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,0.00
2002,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,0.00
2003,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,960.00
2004,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,956.00
2005,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,960.00
2006,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1008.00
2007,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1068.80
2008,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1005.00
2009,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1040.00
2010,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1102.50
2011,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1200.00
2012,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1157.52
2013,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1224.80
2014,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1251.20
2015,Northern region,Support Activities for Mining and Oil and Gas Extraction,Median weekly wage rate,1320.00
2001,Northern region,Utilities,Total employees,4.0
2002,Northern region,Utilities,Total employees,3.5
2003,Northern region,Utilities,Total employees,3.0
2004,Northern region,Utilities,Total employees,4.5
2005,Northern region,Utilities,Total employees,3.3
2006,Northern region,Utilities,Total employees,3.8
2007,Northern region,Utilities,Total employees,4.3
2008,Northern region,Utilities,Total employees,4.1
2009,Northern region,Utilities,Total employees,4.4
2010,Northern region,Utilities,Total employees,5.1
2011,Northern region,Utilities,Total employees,5.2
2012,Northern region,Utilities,Total employees,4.3
2013,Northern region,Utilities,Total employees,5.3
2014,Northern region,Utilities,Total employees,5.0
2015,Northern region,Utilities,Total employees,3.3
2001,Northern region,Utilities,Average hourly wage rate,25.21
2002,Northern region,Utilities,Average hourly wage rate,24.87
2003,Northern region,Utilities,Average hourly wage rate,26.91
2004,Northern region,Utilities,Average hourly wage rate,28.46
2005,Northern region,Utilities,Average hourly wage rate,29.17
2006,Northern region,Utilities,Average hourly wage rate,26.71
2007,Northern region,Utilities,Average hourly wage rate,32.69
2008,Northern region,Utilities,Average hourly wage rate,30.71
2009,Northern region,Utilities,Average hourly wage rate,30.65
2010,Northern region,Utilities,Average hourly wage rate,29.78
2011,Northern region,Utilities,Average hourly wage rate,33.67
2012,Northern region,Utilities,Average hourly wage rate,32.94
2013,Northern region,Utilities,Average hourly wage rate,35.56
2014,Northern region,Utilities,Average hourly wage rate,37.82
2015,Northern region,Utilities,Average hourly wage rate,35.78
2001,Northern region,Utilities,Average weekly wage rate,1001.82
2002,Northern region,Utilities,Average weekly wage rate,970.14
2003,Northern region,Utilities,Average weekly wage rate,1038.35
2004,Northern region,Utilities,Average weekly wage rate,1119.94
2005,Northern region,Utilities,Average weekly wage rate,1150.80
2006,Northern region,Utilities,Average weekly wage rate,1052.11
2007,Northern region,Utilities,Average weekly wage rate,1290.39
2008,Northern region,Utilities,Average weekly wage rate,1208.74
2009,Northern region,Utilities,Average weekly wage rate,1219.34
2010,Northern region,Utilities,Average weekly wage rate,1190.06
2011,Northern region,Utilities,Average weekly wage rate,1318.58
2012,Northern region,Utilities,Average weekly wage rate,1319.49
2013,Northern region,Utilities,Average weekly wage rate,1406.12
2014,Northern region,Utilities,Average weekly wage rate,1498.33
2015,Northern region,Utilities,Average weekly wage rate,1413.31
2001,Northern region,Utilities,Median hourly wage rate,26.00
2002,Northern region,Utilities,Median hourly wage rate,25.00
2003,Northern region,Utilities,Median hourly wage rate,26.62
2004,Northern region,Utilities,Median hourly wage rate,28.00
2005,Northern region,Utilities,Median hourly wage rate,28.02
2006,Northern region,Utilities,Median hourly wage rate,24.17
2007,Northern region,Utilities,Median hourly wage rate,35.00
2008,Northern region,Utilities,Median hourly wage rate,30.00
2009,Northern region,Utilities,Median hourly wage rate,29.00
2010,Northern region,Utilities,Median hourly wage rate,30.00
2011,Northern region,Utilities,Median hourly wage rate,32.00
2012,Northern region,Utilities,Median hourly wage rate,32.45
2013,Northern region,Utilities,Median hourly wage rate,32.00
2014,Northern region,Utilities,Median hourly wage rate,38.00
2015,Northern region,Utilities,Median hourly wage rate,36.00
2001,Northern region,Utilities,Median weekly wage rate,1008.00
2002,Northern region,Utilities,Median weekly wage rate,1000.00
2003,Northern region,Utilities,Median weekly wage rate,1040.00
2004,Northern region,Utilities,Median weekly wage rate,1120.00
2005,Northern region,Utilities,Median weekly wage rate,1120.80
2006,Northern region,Utilities,Median weekly wage rate,950.80
2007,Northern region,Utilities,Median weekly wage rate,1382.22
2008,Northern region,Utilities,Median weekly wage rate,1200.00
2009,Northern region,Utilities,Median weekly wage rate,1134.75
2010,Northern region,Utilities,Median weekly wage rate,1162.40
2011,Northern region,Utilities,Median weekly wage rate,1277.32
2012,Northern region,Utilities,Median weekly wage rate,1298.25
2013,Northern region,Utilities,Median weekly wage rate,1250.00
2014,Northern region,Utilities,Median weekly wage rate,1520.00
2015,Northern region,Utilities,Median weekly wage rate,1440.00
2001,Northern region,Construction of Buildings ,Total employees,2.5
2002,Northern region,Construction of Buildings ,Total employees,2.9
2003,Northern region,Construction of Buildings ,Total employees,3.9
2004,Northern region,Construction of Buildings ,Total employees,3.0
2005,Northern region,Construction of Buildings ,Total employees,3.1
2006,Northern region,Construction of Buildings ,Total employees,4.6
2007,Northern region,Construction of Buildings ,Total employees,4.8
2008,Northern region,Construction of Buildings ,Total employees,5.2
2009,Northern region,Construction of Buildings ,Total employees,6.3
2010,Northern region,Construction of Buildings ,Total employees,3.9
2011,Northern region,Construction of Buildings ,Total employees,5.9
2012,Northern region,Construction of Buildings ,Total employees,6.6
2013,Northern region,Construction of Buildings ,Total employees,4.2
2014,Northern region,Construction of Buildings ,Total employees,4.6
2015,Northern region,Construction of Buildings ,Total employees,4.5
2001,Northern region,Construction of Buildings ,Average hourly wage rate,16.58
2002,Northern region,Construction of Buildings ,Average hourly wage rate,16.86
